Kode,VaR
UNIQ.JK,0.3899379436344857
ARCI.JK,0.1466669011968132
MASB.JK,0.1544004802300653
BMHS.JK,0.5590170259323416
UVCR.JK,0.2236068568587459
HAIS.JK,0.1765293156168379
OILS.JK,0.5590171261132418
GPSO.JK,0.4141692245910433
MCOL.JK,0.5533351187959705
CMNT.JK,0.1095270911420725
GTSI.JK,0.1936542188644828
RSGK.JK,0.1307341183870344
RUNS.JK,0.2236067587517211
SBMA.JK,0.556152712677147
IDEA.JK,0.2236067963744129
KUAS.JK,0.4146839893696553
BOBA.JK,0.1678810032503041
MTEL.JK,0.0586053719757918
BINO.JK,0.1546964414940553
DEPO.JK,0.1556485736800267
CMRY.JK,0.1503886261680789
TAYS.JK,0.3297457956196572
WGSH.JK,0.2228354222271976
WMPP.JK,0.2434906952135492
RMKE.JK,0.4799365219702302
AVIA.JK,0.1356320672249241
OBMD.JK,0.2862998606728553
IPPE.JK,0.7687705455830044
NASI.JK,0.454406753115365
BSML.JK,0.4758705850431427
DRMA.JK,0.2471389751917981
ADMR.JK,0.7684356359306969
SEMA.JK,0.2460086932415965
ASLC.JK,0.3252698883549118
NETV.JK,0.5590169943749475
BAUT.JK,0.7776650354001537
ENAK.JK,0.1574620340321419
NTBK.JK,0.2105345396104746
ADCP.JK,0.3518932601576835
SMKM.JK,0.307112535459882
NANO.JK,0.3332665281506714
STAA.JK,0.3910965978531202
BIKE.JK,0.4104317486502896
WIRG.JK,0.5590169943749475
SICO.JK,0.6013619513040166
GOTO.JK,0.4081647873455139
TLDN.JK,0.2120224461480756
MTMH.JK,0.2030167600386122
WINR.JK,0.7728842209455762
IBOS.JK,0.2021061441201733
OLIV.JK,0.2236067977499789
ASHA.JK,0.7681007262783892
SWID.JK,0.4506323724102121
ARKO.JK,0.4196649162807602
CHEM.JK,0.2642132003208878
TRGU.JK,0.5471449056607808
DEWI.JK,0.6086445669330456
KRYA.JK,0.6410337075564454
HATM.JK,0.5543213184042736
RCCC.JK,0.2236068285901236
GULA.JK,0.21227039504998
JARR.JK,0.5481412392673817
AMMS.JK,0.2228284978462082
RAFI.JK,0.6003750841483767
ELPI.JK,0.3164606659717879
EURO.JK,0.216320230931908
KKES.JK,0.2348519515172939
BUAH.JK,0.4896352476926643
KLIN.JK,0.2236067977499791
TOOL.JK,0.3764085829335701
CRAB.JK,0.3415203620367241
MEDS.JK,0.6304019934592742
COAL.JK,0.7679332714522352
PRAY.JK,0.1595675091538616
OMED.JK,0.1565617652604596
BELI.JK,0.114259524335989
BSBK.JK,0.7524528611489405
MKTR.JK,0.3471488829975638
CBUT.JK,0.4969273283023446
PDPP.JK,0.1500061412936375
KDTN.JK,0.1529566290457112
KETR.JK,0.246474606560697
ZATA.JK,0.7679332714522352
NINE.JK,0.223606797749979
MMIX.JK,0.2683714538107166
PADA.JK,0.7659762517357337
ISAP.JK,0.223606797749979
VTNY.JK,0.2277203917706554
BEER.JK,0.2197907044515173
CBPE.JK,0.3305861279747795
ELIT.JK,0.5830945371870387
SOUL.JK,0.2236067528356171
CBRE.JK,0.6063753720225455
SUNI.JK,0.1750663798569858
WINE.JK,0.6480742809477837
BMBL.JK,0.2236067977499789
PEVE.JK,0.4158459769417058
LAJU.JK,0.4189436196489871
FWCT.JK,0.3117426873802086
NAYZ.JK,0.2221161532362422
IRSX.JK,0.6603446449536506
CHIP.JK,0.223606993236811
HALO.JK,0.7534688299851481
PACK.JK,0.2216847911964714
VAST.JK,0.4481356853875859
KING.JK,0.2226458429166732
PGEO.JK,0.2224268172202687
FUTR.JK,0.6136676045390803
HILL.JK,0.5503225727442695
BDKR.JK,0.23137517989304
PTMP.JK,0.30877895567924
CUAN.JK,0.5568951780459329
SAGE.JK,0.7682200566201188
TRON.JK,0.2479832892364538
NSSS.JK,0.1481032037045313
GTRA.JK,0.4110158614087476
HAJJ.JK,0.2236067977499791
PIPA.JK,0.5532625742504806
NCKL.JK,0.2094858343646981
AWAN.JK,0.7699427293660814
MBMA.JK,0.1271489142127758
MENN.JK,0.2198275279288526
DOOH.JK,0.3468751269823309
JATI.JK,0.6708950986242945
TYRE.JK,0.1930289683884021
RAAM.JK,0.5533883486740091
MPXL.JK,0.2803489581273299
SMIL.JK,0.4754964360877453
MAXI.JK,0.3101521781651843
KLAS.JK,0.4182804686424969
VKTR.JK,0.2054374806884619
RELF.JK,0.2236069639627912
AMMN.JK,0.2394873302767497
CRSN.JK,0.307176966055349
TGUK.JK,0.7735841259345827
GRPM.JK,0.2190516955658915
WIDI.JK,0.2236067977499791
INET.JK,0.669848507495011
MAHA.JK,0.5736279680633446
RMKO.JK,0.3043381686876276
CNMA.JK,0.1235568666510896
HBAT.JK,0.2202850533753892
FOLK.JK,0.3189370199820428
ERAL.JK,0.1419076690646193
GRIA.JK,0.4340101464899592
CYBR.JK,0.7376312285630077
PPRI.JK,0.5314581825483602
MSIE.JK,0.223606797749979
HUMI.JK,0.7457588256673566
MUTU.JK,0.4874231330226233
LMAX.JK,0.2224610439102683
RSCH.JK,0.1172143419961147
BABY.JK,0.3545789164988328
AEGS.JK,0.2197557917887294
IOTF.JK,0.4043934338438751
KOCI.JK,0.3570680649392309
BREN.JK,0.5544872295769857
PTPS.JK,0.4066055085411419
STRK.JK,0.7787765505878813
KOKA.JK,0.6469752127898768
LOPI.JK,0.223606797749979
UDNG.JK,0.2144564175018125
MSTI.JK,0.0986326431234885
RGAS.JK,0.3945790677455426
IKPM.JK,0.2649300742523194
AYAM.JK,0.463292074167906
SURI.JK,0.6496561550421206
ASLI.JK,0.4027434795429395
CGAS.JK,0.7721275553414104
NICE.JK,0.5563863261661242
MSJA.JK,0.3706495224543227
SMLE.JK,0.5607667027393041
ACRO.JK,0.4066028035120967
MANG.JK,0.4072064533384233
GRPH.JK,0.2341986986960308
SMGA.JK,0.3378283877861564
ALII.JK,0.5501071613556909
MPIX.JK,0.622400274639415
TOSK.JK,0.368963583920084
UNTD.JK,0.3954976390745314
MEJA.JK,0.2142736444525885
MKAP.JK,0.6542497064070877
LIVE.JK,0.1967520190039066
HYGN.JK,0.3446124498493852
BAIK.JK,0.4955922919075621
VISI.JK,0.4044548538393691
AREA.JK,0.5590169943749475
ATLA.JK,0.7787180198631525
MHKI.JK,0.7054503469518092
DATA.JK,0.4978026511611235
SOLA.JK,0.781212723288951
BATR.JK,0.2904931028332447
SPRE.JK,0.2223376780870739
PART.JK,0.5905191227859152
ISEA.JK,0.8362990687379496
BLES.JK,0.4790991432874282
GOLF.JK,0.2289910625885985
GUNA.JK,0.5513789403923987
LABS.JK,0.4707051334283304
DOSS.JK,0.5214215657422576
NEST.JK,0.222705027573254
PTMR.JK,0.0643800388435142
VERN.JK,0.2941530786425586
DAAZ.JK,0.5590169943749475
BOAT.JK,0.6452653306499387
NAIK.JK,0.7676270246469639
