Target_stock,VaR
ARCI.JK,0.1180785214348206
MASB.JK,0.1462020460358057
BMHS.JK,1.0
UVCR.JK,0.4547742171187029
HAIS.JK,0.1950079498245186
OILS.JK,0.5450594806149054
MCOL.JK,0.5756871842823738
CMNT.JK,0.1116504854368932
RSGK.JK,0.0822813830174619
SBMA.JK,0.757504810642503
IDEA.JK,0.4479580345386193
KUAS.JK,0.2541666072030115
BOBA.JK,0.1340688533820748
MTEL.JK,0.0576280489315777
BINO.JK,0.1405012428244134
DEPO.JK,0.1427048416238303
CMRY.JK,0.1188234802059177
TAYS.JK,0.2695424836601305
WGSH.JK,0.3835814742377767
WMPP.JK,0.1430649999999998
RMKE.JK,0.4111504743353483
AVIA.JK,0.0953211615974002
OBMD.JK,0.1493214285714286
IPPE.JK,0.6767138599105815
NASI.JK,0.5322457627118643
BSML.JK,0.5908871761280974
DRMA.JK,0.3032667972813306
ADMR.JK,1.0
SEMA.JK,0.2345666445147478
ASLC.JK,0.3499476389946688
BAUT.JK,0.4663534699831232
NTBK.JK,0.2361829405394384
ADCP.JK,0.175654777973292
SMKM.JK,0.2496584596634319
NANO.JK,0.4545454545454545
STAA.JK,0.1569810563485219
BIKE.JK,0.1963189721655203
WIRG.JK,1.0
TLDN.JK,0.1266201923382294
MTMH.JK,0.2398050135693064
WINR.JK,0.4021701607267651
IBOS.JK,0.1293405511811023
OLIV.JK,0.3799607843137251
ASHA.JK,1.0
SWID.JK,0.3945143871550263
ARKO.JK,0.3418799646954987
CHEM.JK,0.1815515458965665
TRGU.JK,0.6157166629243522
DEWI.JK,0.3597735460627894
KRYA.JK,0.7603648609133247
HATM.JK,0.9428484850446288
RCCC.JK,0.3210865356898437
GULA.JK,0.1523809523809523
JARR.JK,0.2870035035957955
AMMS.JK,0.3789788843365899
RAFI.JK,0.5405866402941425
ELPI.JK,0.1799798828438796
EURO.JK,0.377985243130461
KKES.JK,0.1857167925514567
BUAH.JK,0.5846154199420188
KLIN.JK,0.2381132075471698
TOOL.JK,0.23264340626848
CRAB.JK,0.3942886867757548
MEDS.JK,0.994476744186046
COAL.JK,1.0
PRAY.JK,0.1603445692883895
OMED.JK,0.1305815422976441
BSBK.JK,0.7388888478437614
MKTR.JK,0.3676922118131077
CBUT.JK,0.5651542482013945
PDPP.JK,0.1372487063791981
KDTN.JK,0.1739903330548742
KETR.JK,0.249175412293853
ZATA.JK,0.891555555555555
NINE.JK,0.4177655677655676
MMIX.JK,0.3022352188081937
PADA.JK,1.0
ISAP.JK,0.4332264355362947
VTNY.JK,0.1545527363184079
BEER.JK,0.2294737536894405
CBPE.JK,0.181923982831513
ELIT.JK,0.3551285907833569
SOUL.JK,0.2979259351081598
CBRE.JK,0.2395897435897435
SUNI.JK,0.0680878856715726
WINE.JK,0.7380799087182706
BMBL.JK,0.3342156862745098
PEVE.JK,0.1440884410566983
LAJU.JK,0.5952778129796661
FWCT.JK,0.2442631334672285
NAYZ.JK,0.2302808879408424
IRSX.JK,0.7315731573157316
CHIP.JK,0.4569846088333896
PACK.JK,0.3490998043052835
VAST.JK,0.1675082508250825
KING.JK,0.3019638242894056
PGEO.JK,0.1517805182350604
FUTR.JK,0.3349999999999999
HILL.JK,0.6809941709132945
BDKR.JK,0.1003681806772104
PTMP.JK,0.3074895691096119
CUAN.JK,1.0
SAGE.JK,1.0
TRON.JK,0.133069170865781
NSSS.JK,0.1196709699052727
GTRA.JK,0.2963664822364586
HAJJ.JK,0.4529673965936739
PIPA.JK,0.237486210930971
NCKL.JK,0.2026253153358938
AWAN.JK,0.9718876678876652
MBMA.JK,0.0783781987371218
MENN.JK,0.2721388797903699
DOOH.JK,0.2760164512338426
JATI.JK,0.4891852277879113
TYRE.JK,0.1924463856912691
RAAM.JK,1.0
MPXL.JK,0.2287772637373225
SMIL.JK,0.195163527466417
MAXI.JK,0.26250443190975
KLAS.JK,0.429873417029733
VKTR.JK,0.1418406299212598
RELF.JK,0.4465700434092904
AMMN.JK,0.3198742288557214
CRSN.JK,0.1935664068456728
TGUK.JK,0.8018881578947372
GRPM.JK,0.2068115960356164
WIDI.JK,0.4615384615384615
INET.JK,0.4787991596638655
MAHA.JK,0.4674754896868941
RMKO.JK,0.2249010391417066
CNMA.JK,0.0836329788487187
HBAT.JK,0.3611007381676071
ERAL.JK,0.0913885880808986
GRIA.JK,0.2307216386554621
PPRI.JK,0.3587416232315711
MSIE.JK,0.3052380952380951
HUMI.JK,1.0
MUTU.JK,0.2958254569366291
LMAX.JK,0.4392207792207791
BABY.JK,0.2965400773908235
AEGS.JK,0.2872675438596491
IOTF.JK,0.2281616161616161
KOCI.JK,0.1561999606173095
BREN.JK,1.0
PTPS.JK,0.3418242581121936
STRK.JK,0.6794348561759729
KOKA.JK,0.3404941176470588
LOPI.JK,0.3039130434782609
MSTI.JK,0.0416133155066275
RGAS.JK,0.1546969696969697
IKPM.JK,0.1790965528008725
AYAM.JK,0.2508962188254223
SURI.JK,0.7834586466165415
ASLI.JK,0.1978338552219563
CGAS.JK,0.8370122358252584
NICE.JK,0.3170343959731543
