Kode,Date,RoA,Market Cap,RoE,Total Aset,Laba Bersih,Total Ekuitas,Sub Sektor
UNIQ.JK,2021-08-03,-1.04,35400000000,-0.51,558788000000.0,-1412803261.0,277020247255,"Oil, Gas, & Coal"
ARCI.JK,2021-06-28,20.55,2793937500000,130.73,600236306.0,123337255.0,94345028,Basic Materials
MASB.JK,2021-06-30,0.739,625553040000,8.42,21537900000000.0,159218000000.0,1890954164834,Banks
BMHS.JK,2021-06-07,5.478,210800000000,11.3,2162540000000.0,118460000000.0,1048319343150,Healthcare Equipment & Providers
UVCR.JK,2021-07-27,1.2,50000000000,2.0,45197327857.0,543491609.0,27174580450,Software & IT Service
HAIS.JK,2021-01-09,2.051,157575000000,3.1,384296000000.0,7882013440.0,254258498065,Logistics & Deliveries
OILS.JK,2021-06-09,3.304,40500000000,19.047,77119000000.0,4715000000.0,24754554523,Food & Beverage
GPSO.JK,2021-06-09,-0.369,30000060000,-0.54,65683598000.0,-242723000.0,44948703704,Industrial Goods
MCOL.JK,2021-07-09,6.13,504895200000,12.11,5142020000000.0,315192000000.0,2602740668869,"Oil, Gas, & Coal"
CMNT.JK,2021-08-09,0.64,1168784000000,4.058,18579500000000.0,118934000000.0,2930852636767,Basic Materials
GTSI.JK,2021-08-09,-0.066,240000000000,-1.109,1487420000000.0,-9914715000.0,894022993688,"Oil, Gas, & Coal"
RSGK.JK,2021-08-09,5.178,319816800000,7.315,723809000000.0,37483477810.0,512419382228,Healthcare Equipment & Providers
RUNS.JK,2021-08-09,-7.241,49987200000,-7.9,35362158125.0,-2560468340.0,32410991646,Software & IT Service
SBMA.JK,2021-08-09,0.137,50112000000,0.18,199117000000.0,272938091.0,151632272778,Basic Materials
IDEA.JK,2021-09-09,4.46,29748320000,7.1,59323669225.0,2645858968.0,37265619268,Consumer Services
KUAS.JK,2021-10-25,0.725,76050000000,2.43,210770000000.0,1527911869.0,62877031646,Industrial Goods
BOBA.JK,2021-01-11,4.512,39200000000,5.493,80263658822.0,3621747144.0,65933863900,Food & Beverage
MTEL.JK,2021-11-22,2.172,18774816000000,5.121,32255400000000.0,700700000000.0,13682874438586,Telecommunication
BINO.JK,2021-11-25,0.265,60030000000,0.33,391506000000.0,1038390905.0,314663910606,Industrial Services
DEPO.JK,2021-11-25,3.89,493568000000,7.52,1211750000000.0,47142228011.0,626891329934,Retailing
CMRY.JK,2021-06-12,26.13,3665816000000,51.93,1394930000000.0,364502000000.0,701910263817,Food & Beverage
