Kode;Date;RoA;Market Cap;RoE;Total Aset;Laba Bersih;Total Ekuitas;Sub Sektor
UNIQ.JK;08/03/21;-1.04;35400000000;-0.51;5.58788E+11;-1412803261;2.7702E+11;Oil, Gas, & Coal
ARCI.JK;28/06/21;20.55;2.79394E+12;130.73;600236306;123337255;94345028;Basic Materials
MASB.JK;30/06/21;0.739;6.25553E+11;8.42;2.15379E+13;1.59E+11;1.89095E+12;Banks
BMHS.JK;06/07/21;5.478;2.108E+11;11.3;2.16254E+12;1.18E+11;1.04832E+12;Healthcare Equipment & Providers
UVCR.JK;27/07/21;1.2;50000000000;2;45197327857;543491609;27174580450;Software & IT Service
HAIS.JK;01/09/21;2.051;1.57575E+11;3.1;3.84296E+11;7882013440;2.54258E+11;Logistics & Deliveries
OILS.JK;06/09/21;3.304;40500000000;19.047;77119000000;4715000000;24754554523;Food & Beverage
GPSO.JK;06/09/21;-0.369;30000060000;-0.54;65683598000;-242723000;44948703704;Industrial Goods
MCOL.JK;07/09/21;6.13;5.04895E+11;12.11;5.14202E+12;3.15E+11;2.60274E+12;Oil, Gas, & Coal
CMNT.JK;08/09/21;0.64;1.16878E+12;4.058;1.85795E+13;1.19E+11;2.93085E+12;Basic Materials
GTSI.JK;08/09/21;-0.066;2.4E+11;-1.109;1.48742E+12;-9914715000;8.94023E+11;Oil, Gas, & Coal
RSGK.JK;08/09/21;5.178;3.19817E+11;7.315;7.23809E+11;37483477810;5.12419E+11;Healthcare Equipment & Providers
RUNS.JK;08/09/21;-7.241;49987200000;-7.9;35362158125;-2560468340;32410991646;Software & IT Service
SBMA.JK;08/09/21;0.137;50112000000;0.18;1.99117E+11;272938091;1.51632E+11;Basic Materials
IDEA.JK;09/09/21;4.46;29748320000;7.1;59323669225;2645858968;37265619268;Consumer Services
KUAS.JK;25/10/21;0.725;76050000000;2.43;2.1077E+11;1527911869;62877031646;Industrial Goods
BOBA.JK;01/11/21;4.512;39200000000;5.493;80263658822;3621747144;65933863900;Food & Beverage
MTEL.JK;22/11/21;2.172;1.87748E+13;5.121;3.22554E+13;7.01E+11;1.36829E+13;Telecommunication
BINO.JK;25/11/21;0.265;60030000000;0.33;3.91506E+11;1038390905;3.14664E+11;Industrial Services
DEPO.JK;25/11/21;3.89;4.93568E+11;7.52;1.21175E+12;47142228011;6.26891E+11;Retailing
CMRY.JK;06/12/21;26.13;3.66582E+12;51.93;1.39493E+12;3.65E+11;7.0191E+11;Food & Beverage
TAYS.JK;06/12/21;0.997;86508000000;5.23;2.67651E+11;2667603151;51005796386;Food & Beverage
WGSH.JK;06/12/21;7.714;29190000000;8.55;23750439867;1832046461;21427443988;Software & IT Service
WMPP.JK;06/12/21;3.01;7.0704E+11;8.03;4.17559E+12;1.26E+11;1.5654E+12;Food & Beverage
RMKE.JK;07/12/21;3.35;1.8025E+11;8.39;1.17211E+12;39222616641;4.67492E+11;Oil, Gas, & Coal
AVIA.JK;08/12/21;9.828;5.766E+12;18.643;6.14023E+12;6.03E+11;3.23693E+12;Basic Materials
OBMD.JK;08/12/21;3.74;32760000000;4.73;70367134356;2629436113;55590615497;Basic Materials
IPPE.JK;09/12/21;0.358;1E+11;0.358;1.85105E+11;662619000;1.85089E+11;Food & Beverage
NASI.JK;13/12/21;0.825;31000000000;1.166;44016000000;363000000;31132075472;Food & Beverage
BSML.JK;16/12/21;1.66;43295265000;6.45;2.12953E+11;3531401645;54750413101;Oil, Gas, & Coal
DRMA.JK;20/12/21;5.11;3.52941E+11;15.7;1.95988E+12;1E+11;6.37575E+11;Automobiles & Components
ADMR.JK;03/01/22;5.5;6.60708E+11;91.7;1.2165E+13;6.75E+11;7.35934E+11;Oil, Gas, & Coal
SEMA.JK;10/01/22;3.37;62460000000;7.89;1.46958E+11;4959696897;62860543688;Alternative Energy
ASLC.JK;25/01/22;5.354;6.52613E+11;8.59;4.30826E+11;23065650000;2.68517E+11;Retailing
NETV.JK;26/01/22;-33.924;1.5E+11;-1193.404;1.81599E+12;-6.16E+11;51621998921;Media & Entertainment
BAUT.JK;28/01/22;6.274;1.45E+11;11.4;85091000000;5339000000;46833333333;Retailing
ENAK.JK;08/02/22;-0.703;3.68333E+11;-6.7;6.47851E+11;-4553000000;67955223881;Consumer Services
NTBK.JK;09/02/22;0.258;70000000000;1.35;57163180604;147442269;10921649556;Industrial Goods
ADCP.JK;23/02/22;0.608;2.88889E+11;1.69;5.5772E+12;33932553305;2.00784E+12;Properties & Real Estate
SMKM.JK;09/03/22;9.29;66000000000;9.82;1.32242E+11;12289306791;1.25146E+11;Heavy Constructions & Civil
NANO.JK;10/03/22;3.883;1.285E+11;4.2;41669000000;1618000000;38523809524;Nondurable Household Products
STAA.JK;10/03/22;8.101;5.26243E+11;16.881;5.30735E+12;4.3E+11;2.54698E+12;Food & Beverage
BIKE.JK;21/03/22;16.243;54966780000;40.717;1.2477E+11;20266419000;49773851217;Leisure Goods
WIRG.JK;04/04/22;5.72;3.92631E+11;12.07;3.02487E+11;17298330302;1.43317E+11;Software & IT Service
SICO.JK;08/04/22;-11.91;62100000000;30.926;5357000000;-638000000;-2062989071;Oil, Gas, & Coal
GOTO.JK;11/04/22;-27.61;1.37279E+13;-36.6;1.57283E+13;-4.34E+12;1.1865E+13;Software & IT Service
TLDN.JK;12/04/22;18.02;3.00359E+11;4.46;2.68776E+11;48434346000;1.08597E+12;Food & Beverage
MTMH.JK;20/04/22;0.31;3.25149E+11;4.5;8.0563E+11;2498258261;55516850244;Healthcare Equipment & Providers
WINR.JK;25/04/22;41.017;1.5E+11;61.98;2.63892E+11;1.08E+11;1.74639E+11;Properties & Real Estate
IBOS.JK;25/04/22;4.136;1.60736E+11;5.05;2.0962E+11;8670385398;1.71691E+11;Food & Beverage
OLIV.JK;17/05/22;1.81;40000000000;3.13;29068489770;525081615;16775770447;Household Goods
ASHA.JK;27/05/22;0.8;1.25E+11;1.14;1.11777E+11;894947985;78504209211;Food & Beverage
SWID.JK;07/07/22;7.67;68000000000;16.64;2.66575E+11;20437980109;1.22824E+11;Properties & Real Estate
ARKO.JK;08/07/22;7.19;1.7397E+11;29.07;684719725;44807769;154137492;Utilities
CHEM.JK;08/07/22;14.23;75000000000;30.64;90598393183;12900178620;42102410640;Basic Materials
TRGU.JK;08/07/22;1.35;3.15E+11;4;1.98106E+12;26802289013;6.70057E+11;Food & Beverage
DEWI.JK;18/07/22;7.537;70000000000;8.87;85111029983;6414943557;72321798839;Food & Beverage
KRYA.JK;25/07/22;4.61;40625000000;11.7;1.22731E+11;5657663329;48356096829;Heavy Constructions & Civil
HATM.JK;26/07/22;20.68;1.79E+11;24.369;4.3606E+11;90156413413;3.69964E+11;Logistics & Deliveries
RCCC.JK;02/08/22;22.911;20250000000;31.177;13223866335;3029717426;9717796536;Logistics & Deliveries
GULA.JK;03/08/22;5.32;53518000000;7.69;1.35274E+11;7197000000;93589076723;Food & Beverage
JARR.JK;04/08/22;2.42;3.66885E+11;9.62;3.32103E+12;80270000000;8.34407E+11;Food & Beverage
