Kode,Basic_EPS,EBITDA,DIS,EPR,Net_Income,Sub_Sektor
AALI.JK,2.2195185305,0.2266945521,0.0335323349,-0.0650632378,0.2180741229,Food & Beverage
ABBA.JK,-0.2837800281,-0.1157643549,-0.1475635273,-0.0619809717,-0.0348915344,Media & Entertainment
ABMM.JK,-0.2336658882,-0.1098802114,-0.1530980856,-0.0665701584,-0.0247706180,Multi Sector Holdings
ACES.JK,-0.0345280428,0.1538798706,0.3890920438,-0.0656139704,0.1508093282,Retailing
ACST.JK,-0.3280577000,-0.1582914974,-0.1461594284,-0.0632862959,-0.0869854233,Heavy Constructions & Civil
ADCP.JK,-0.2107442319,-0.0865394695,-0.1499884466,-0.0665634481,0.0018869717,Properties & Real Estate
ADES.JK,2.7669068398,-0.0204004062,-0.1462362037,-0.0677486952,0.0662170219,Food & Beverage
ADHI.JK,-0.1202657165,0.0835353319,-0.0884008386,-0.0650184044,0.0243976928,Heavy Constructions & Civil
ADMF.JK,8.4603892950,0.0373730088,0.0141401375,-0.0653072234,0.4223948146,Financing Service
ADMG.JK,-0.2341572809,-0.1099682489,-0.1531041797,-0.0637119305,-0.0248415007,Basic Materials
ADMR.JK,-0.2340870627,-0.1098606262,-0.1531029905,-0.0699573875,-0.0247356452,"Oil, Gas, & Coal"
ADRO.JK,-0.2338979210,-0.1095443009,-0.1530951986,-0.0679463991,-0.0244594873,"Oil, Gas, & Coal"
AGII.JK,0.0074239332,0.0030155419,0.0039641565,-0.0661638496,0.0132164898,Basic Materials
AISA.JK,-0.2251009316,-0.0931569205,-0.1337412602,-0.0651733250,-0.0205174166,Food & Beverage
AKPI.JK,-0.4488149869,-0.1042460424,-0.1494814641,-0.0644895082,-0.0316574760,Basic Materials
AKRA.JK,0.3959045978,0.5525264883,-0.1063791668,-0.0653091156,0.6147878873,"Oil, Gas, & Coal"
ALDO.JK,-0.2295510612,-0.1006385371,-0.1457710329,-0.0647281374,-0.0242116583,Basic Materials
ALMI.JK,-0.2341478886,-0.1099663776,-0.1531041784,-0.0629529331,-0.0248395612,Basic Materials
AMAN.JK,-0.1703998709,-0.0971991725,-0.1507280656,-0.0684718012,-0.0121383417,Properties & Real Estate
AMFG.JK,5.7768940294,0.0537145252,-0.1148913918,-0.0659584526,0.1093515435,Industrial Goods
AMOR.JK,-0.0194557444,-0.0862268184,-0.1494282933,-0.0678385024,-0.0006073354,Investment Service
AMRT.JK,0.1324748126,1.3055867763,3.9277567270,-0.0647404404,0.7581810273, Food & Staples Retailing 
